merchant_category,count
WOMENS > LINGERIE > UNDERWEAR > BRAS,6264
CLOTHING > JEANS,4564
LINGERIE > UNDERWEAR > COLLECTION,3691
CLOTHING > T SHIRTS,3564
CLOTHING > CHINOS,2742
CLOTHING > FLAT FRONT,2418
WOMENS > CLOTHING > THE EDIT TRS & OW,2027
WOMENS > CLOTHING > DENIM & CASUAL BTM,1988
CLOTHING > SINGLE BREASTED,1607
CLOTHING > T SHIRT BRA,1483
CLOTHING > TROUSERS,1400
CLOTHING > JUMPERS,1377
CLOTHING > SHIRTS,1216
CLOTHING > POLO SHIRTS,1210
CLOTHING > JOGGERS,1195
CLOTHING > EASY IRON SHIRTS,1134
CLOTHING > VESTS,1120
CLOTHING > CHINO SHORTS,1077
CLOTHING > TOP & BOTTOM,1024
CLOTHING > DRESSES,1002
CLOTHING > SWEATSHIRTS,936
CLOTHING > BLOUSES,918
CLOTHING > CARDIGANS,911
CLOTHING > HIGH LEG KNICKERS,895
CLOTHING > SHORTS,846
CLOTHING > SWIMSUITS,819
CLOTHING > TRAINERS,812
CLOTHING > LEGGINGS,805
CLOTHING > HOODIES,713
CLOTHING > PLUNGE,676
CLOTHING > PYJAMA SETS,644
CLOTHING > FULL BRIEFS,636
CLOTHING > PUSH UP BRA,604
CLOTHING > SWIM SHORTS,533
CLOTHING > KNICKER SHORTS,528
CLOTHING > BODYSUITS,515
CLOTHING > LINEN SHORTS,506
CLOTHING > THONGS,481
CLOTHING > TOPS,478
CLOTHING > WAISTCOATS,477
CLOTHING > SHORT SLEEVE TOPS,473
CLOTHING > KNITTED POLO SHIRTS,472
CLOTHING > NON IRON SHIRTS,458
CLOTHING > WAISTED DRESS,457
CLOTHING > SHIFT DRESS,447
CLOTHING > CARGO TROUSERS,446
CLOTHING > BRAZILIAN KNICKERS,445
CLOTHING > PYJAMA BOTTOMS,403
CLOTHING > A LINE SKIRT,393
CLOTHING > CASUAL SHORTS,380
CLOTHING > LINEN SHIRTS,370
CLOTHING > DENIM SHORTS,367
CLOTHING > OXFORD SHIRTS,350
CLOTHING > SANDALS,328
CLOTHING > BIKINI KNICKERS,325
CLOTHING > LUXURY SHIRTS,322
CLOTHING > TRUNKS,317
CLOTHING > DENIM SKIRT,301
CLOTHING > LIGHTWEIGHT SHORTS,292
CLOTHING > JEGGING,288
CLOTHING > BLAZER,277
CLOTHING > LONG SLEEVE TOPS,268
CLOTHING > CARGO SHORTS,264
CLOTHING > PLEATED SKIRT,231
CLOTHING > PYJAMA SHORTS,222
CLOTHING > JACKETS,218
CLOTHING > DOUBLE BREASTED,214
CLOTHING > ROMPER,212
CLOTHING > PYJAMA TOPS,198
CLOTHING > HIGH LEG,198
CLOTHING > BRIEFS,197
WOMENS > CLOTHING > HOLIDAY,194
CLOTHING > SWING DRESS,192
CLOTHING > PINAFORES,192
CLOTHING > DUNGAREES,189
CLOTHING > TEA DRESS,186
CLOTHING > PRINTED SHIRTS,183
CLOTHING > COLUMN DRESS,177
CLOTHING > KNITTED VESTS,176
CLOTHING > OVERSHIRTS,175
CLOTHING > CYCLING SHORTS,174
CLOTHING > BALLET PUMPS,172
CLOTHING > THERMALS,171
CLOTHING > TIERED DRESS,168
CLOTHING > SLIPPERS,165
CLOTHING > DENIM JACKET,157
CLOTHING > T-SHIRT DRESS,148
CLOTHING > KNITTED TOPS,145
CLOTHING > VEST TOPS,143
CLOTHING > SLIP DRESS,140
CLOTHING > CARGOS,135
CLOTHING > KNICKERS,132
CLOTHING > JERSEY SHORTS,131
CLOTHING > SINGLE PLEAT,128
CLOTHING > BODY,125
CLOTHING > CROP TOP,122
CLOTHING > SWIM OUTFIT,121
CLOTHING > GILET,119
CLOTHING > BOMBER JACKETS,118
CLOTHING > BEACH DRESS,118
CLOTHING > DRESS SHIRTS,118
CLOTHING > DRESSING GOWNS,116
CLOTHING > CAMIS,115
HOME > RECTANGLE,115
CLOTHING > SLIP SKIRT,114
CLOTHING > BEACH SHIRT,112
CLOTHING > ANKLE SOCKS,110
CLOTHING > PLAYSUITS,108
CLOTHING > LOAFERS,104
CLOTHING > MIAMI KNICKERS,100
CLOTHING > BEACH TROUSER,100
CLOTHING > CULOTTES,99
CLOTHING > CHEMISE,98
CLOTHING > SCHOOL SOCKS,97
CLOTHING > SHEER TIGHTS,97
CLOTHING > SKORT,93
CLOTHING > SHAPING KNICKERS,93
CLOTHING > JUMPSUITS,93
CLOTHING > PARKA,90
CLOTHING > BOXERS,89
WOMENS > CLOTHING > PER UNA,89
CLOTHING > HIGH WAISTED,88
CLOTHING > HEELED SANDALS,86
CLOTHING > MULES,83
CLOTHING > TANKINIS,83
CLOTHING > PENCIL SKIRT,80
CLOTHING > WELLIES,80
CLOTHING > CHELSEA BOOTS,80
CLOTHING > SKIRTS,77
CLOTHING > TRENCH COATS,75
CLOTHING > RASH VESTS,74
CLOTHING > SPORT SOCKS,74
CLOTHING > SINGLE BREASTED 2 BUTTON,72
